SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
20MICRONS,EQ,52.15,4176274.35,79203
21STCENMGM,BE,42.75,67758.75,1585
3IINFOTECH,EQ,5.6,31804507.85,5588805
3MINDIA,EQ,19922.35,38847187.6,1921
5PAISA,EQ,341.3,8581747.55,25153
63MOONS,EQ,95,127301637.3,1343715
8KMILES,EQ,809.9,1344361622,1607492
A2ZINFRA,EQ,32.75,42578320.75,1286020
AARTIDRUGS,EQ,648.8,3612296.05,5556
AARTIIND,EQ,1169,21461415.35,18365
AARVEEDEN,EQ,51.4,1794069.7,34816
AARVI,SM,92.4,557700,6000
ABAN,EQ,173.7,182662066,1039243
ABBOTINDIA,EQ,5518.15,86229752.5,15235
ABCAPITAL,EQ,164.5,205933185,1249920
ABFRL,EQ,155,33069481.95,212669
ABGSHIP,BZ,11.2,227183.85,20505
ABMINTLTD,BE,49.45,55459,1157
ACCELYA,EQ,1374.05,6703364.25,4853
ACCORD,SM,46,274300,6000
ACE,EQ,184.4,255983600.9,1384373
ACEINTEG,SM,47,141000,3000
ADANIENT,EQ,207.8,1148323664,5458989
ADANIPOWER,EQ,32.35,224476411.9,6906543
ADANITRANS,EQ,203.8,138596201.5,678670
ADFFOODS,EQ,250.8,91295255.45,355250
ADHUNIK,EQ,4.75,281085.3,57382
ADHUNIKIND,EQ,88.25,164928.55,1893
ADLABS,EQ,56.6,3039425.4,53300
ADORWELD,EQ,436,3784570.6,8568
ADSL,EQ,24.5,3137993.75,128228
ADVANIHOTR,EQ,64.45,3071639.3,47382
ADVENZYMES,EQ,241.15,46137335.8,191607
AEGISCHEM,EQ,263.1,31342900.45,117308
AFL,EQ,51,363828.15,7073
AGARIND,BE,426.55,386242.05,903
AGCNET,EQ,128.75,1277604.4,9888
AGLSL,EQ,110.8,1818195.8,16164
AGRITECH,EQ,147.9,12294958.65,81940
AGROPHOS,SM,37.65,904800,24000
AHLEAST,BE,290.75,361203.15,1232
AHLUCONT,EQ,346.25,12818250.65,37104
AHLWEST,EQ,258.95,727774.4,2836
AIAENG,EQ,1450.05,32684069,22523
AICHAMP,BE,33.6,58094.6,1876
AIFL,EQ,478.15,134809838.4,281829
AIROLAM,SM,46.2,1537800,33000
AISL,SM,123.05,1798680,14400
AJANTPHARM,EQ,1391.75,159926020.7,114831
AJMERA,EQ,234.7,63034858.85,263682
AJOONI,SM,37,918400,24000
AKSHARCHEM,EQ,644.55,9415336,14455
AKSHOPTFBR,EQ,38.85,41493712.95,1062962
AKZOINDIA,EQ,1828.95,14644566.3,8066
ALANKIT,EQ,51.45,15895229.5,303230
ALBERTDAVD,BE,384.15,1208426.25,3141
ALBK,EQ,54.85,347141848.8,6356502
ALCHEM,BE,12.1,18241.45,1504
ALEMBICLTD,EQ,61.05,29876812.25,484364
ALICON,EQ,621.95,1375137.75,2211
ALKALI,EQ,85.15,2582310.6,29781
ALKEM,EQ,2164.4,31077137,14370
ALKYLAMINE,EQ,625.7,1097237.85,1762
ALLCARGO,EQ,175.7,57466563.75,324031
ALLSEC,EQ,379.95,9936376,26166
ALMONDZ,EQ,28.8,626486,21284
ALOKTEXT,EQ,3.35,11270327.2,3350932
ALPA,EQ,44.75,6757716.3,151355
ALPHAGEO,EQ,815.6,19656588.6,23813
ALPSINDUS,EQ,4.7,378151,80999
AMARAJABAT,EQ,815.75,288864036.1,351943
AMBER,EQ,1158.5,111196798.7,95391
AMBIKCO,EQ,1329.15,6988915,5281
AMDIND,EQ,35.1,1858346.55,52080
AMJLAND,EQ,27.8,527584,19052
AMJUMBO,SM,65,2639600,40000
AMRUTANJAN,EQ,585.45,1355122.45,2291
AMTEKAUTO,EQ,23.5,10428913.4,446199
ANANTRAJ,EQ,59.05,52476153.55,882204
ANDHRABANK,EQ,46.6,111944458.3,2402584
ANDHRACEMT,EQ,11.35,2440187.9,215365
ANDHRSUGAR,EQ,490.55,25577191.35,52040
ANGIND,EQ,5.9,64550.7,11040
ANIKINDS,EQ,43,2971773.8,66105
ANSALAPI,EQ,23.45,1875072.35,79919
ANSALHSG,EQ,23.9,2588398.25,108501
ANTGRAPHIC,BE,1,33194.8,34734
APARINDS,EQ,782.8,6158859.65,7840
APCL,EQ,193.65,1507226.1,7689
APCOTEXIND,EQ,505.6,6428110.2,12562
APEX,EQ,686.85,198570794.8,284331
APLAPOLLO,EQ,2068.75,30048214.5,14540
APLLTD,EQ,576.45,20861064.2,36406
APOLLO,EQ,302.75,30206108.2,98752
APOLLOHOSP,EQ,1141.85,1345779996,1146020
APOLLOTYRE,EQ,261.3,642433390.7,2417120
APOLSINHOT,EQ,1465.35,727463.6,486
APTECHT,EQ,307.1,219175204.5,703771
ARCHIDPLY,EQ,96.15,3568755.2,36626
ARCHIES,EQ,37.95,6290280.5,163890
ARCOTECH,EQ,45.4,8865317.05,194484
ARIES,EQ,208.7,8616091.4,40730
ARIHANT,BE,46.2,37117.55,802
ARIHANTSUP,EQ,147.85,21553837.05,145329
ARMANFIN,EQ,284,2365003.2,8232
AROGRANITE,EQ,65.85,3624976.25,54931
ARROWGREEN,EQ,413.65,9216305.65,21879
ARROWTEX,EQ,41.8,1343031.35,32079
ARSHIYA,EQ,94.95,9154917.35,94215
ARSSINFRA,BE,54.2,2011317.65,37796
ARVIND,EQ,386.2,524189881.7,1336988
ARVSMART,EQ,183.85,3927235.45,21259
ASAHIINDIA,EQ,337.75,2513451.8,7386
ASAHISONG,EQ,350.55,3779078.3,10669
ASAL,EQ,82.1,1398214.05,16890
ASHAPURMIN,EQ,83.7,15716570.7,185037
ASHIANA,EQ,178.2,20931735.35,117690
ASHIMASYN,EQ,27.9,6600927.05,231251
ASHOKA,EQ,222.2,29081941.9,129678
ASIANHOTNR,BE,273,7696067.65,28260
ASIANTILES,EQ,516.6,28089986.95,53386
ASPINWALL,EQ,426.25,1138695,2653
ASSAMCO,EQ,5,2543741.55,513595
ASTEC,EQ,572.8,11710156,20325
ASTRAL,EQ,764,20925392.65,27259
ASTRAMICRO,EQ,104.95,71972225.5,685132
ASTRAZEN,EQ,1028.3,1845885.5,1787
ASTRON,EQ,131.55,28295613.3,215751
ATFL,EQ,636.55,9069863.65,14230
ATLANTA,EQ,94.8,24643952.15,258900
ATLASCYCLE,BE,186.35,462845.45,2487
ATUL,EQ,2712.1,8943415,3295
ATULAUTO,EQ,414.9,53353151.15,127111
AUBANK,EQ,583,45509682.8,77873
AURIONPRO,EQ,208.7,14357789.7,67697
AUSOMENT,EQ,73.3,5740276.35,76586
AUTOAXLES,EQ,1669.2,13509115,8099
AUTOIND,EQ,92,3349608.55,36076
AUTOLITIND,EQ,75.7,2937099.95,37924
AVADHSUGAR,EQ,777.8,35443448,45315
AVANTIFEED,EQ,2342.35,151308684.6,64492
AVTNPL,EQ,42,6359973.85,149407
AXISCADES,EQ,174.15,20075417.4,115777
AXISGOLD,EQ,2702,1077960.2,399
AXISNIFTY,EQ,1055.46,115854.31,110
AYMSYNTEX,EQ,65.95,1931532.25,28992
BAFNAPHARM,EQ,28,2640402.4,93981
BAGFILMS,EQ,5.9,690664.9,116330
BAJAJCORP,EQ,489.75,4776924.2,9727
BAJAJELEC,EQ,505.55,173102819.6,345462
BAJAJHIND,EQ,13.2,21320005.75,1605212
BAJAJHLDNG,EQ,2738.1,27372825.4,9992
BALAJITELE,EQ,141.75,6241670.35,43805
BALAMINES,EQ,650.15,18217260.35,27813
BALKRISHNA,EQ,73.85,1417286.25,18958
BALKRISIND,EQ,1125.35,644217892.8,561346
BALLARPUR,EQ,13.75,16448869.35,1188607
BALMLAWRIE,EQ,232.8,12662676.15,53908
BALPHARMA,EQ,91.5,4042711.7,43908
BALRAMCHIN,EQ,116.65,188644603.4,1596326
BANARBEADS,EQ,63.5,227853.85,3514
