ISIN,BSE,Company,NSE,Sector,Industry,Link
INE885A01032,500008,Amara Raja Batt,AMARAJABAT,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/amararajabatteries/ARB
INE208A01029,500477,Ashok Leyland,ASHOKLEY,AUTO,AUTOMOBILE,/india/stockpricequote/autolcvshcvs/ashokleyland/AL
INE917I01010,532977,Bajaj Auto,BAJAJ-AUTO,AUTO,AUTOMOBILE,/india/stockpricequote/auto23wheelers/bajajauto/BA10
INE323A01026,500530,Bosch,BOSCHLTD,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/bosch/B05
INE066A01013,505200,Eicher Motors,EICHERMOT,AUTO,AUTOMOBILE,/india/stockpricequote/autolcvshcvs/eichermotors/EM
INE913H01037,540153,Endurance Techn,ENDURANCE,AUTO,AUTOMOBILE,/india/stockpricequote/auto-2-3-wheelers/endurancetechnologies/ET01
INE042A01014,500495,Escorts,ESCORTS,AUTO,AUTOMOBILE,/india/stockpricequote/autotractors/escorts/E
INE302A01020,500086,Exide Ind,EXIDEIND,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/exideindustries/EI
INE158A01026,500182,Hero Motocorp,HEROMOTOCO,AUTO,AUTOMOBILE,/india/stockpricequote/auto23wheelers/herohondamotors/HHM
INE101A01026,500520,M&M,M&M,AUTO,AUTOMOBILE,/india/stockpricequote/autocarsjeeps/mahindramahindra/MM
INE585B01010,532500,Maruti Suzuki,MARUTI,AUTO,AUTOMOBILE,/india/stockpricequote/autocarsjeeps/marutisuzukiindia/MS24
INE842C01021,538962,Minda Corp,MINDACORP,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/mothersonsumisystems/MC23
INE405E01023,532539,Minda Ind,MINDAIND,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/mindaindustries/MI4
INE775A01035,517334,Motherson Sumi,MOTHERSUMI,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/mothersonsumisystems/MSS01
INE294B01019,505192,SML Isuzu,SMLISUZU,AUTO,AUTOMOBILE,/india/stockpricequote/autolcvshcvs/smlisuzu/SM
INE399C01030,532509,Suprajit Eng,SUPRAJIT,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/suprajitengineering/SE15
INE494B01023,532343,TVS Motor,TVSMOTOR,AUTO,AUTOMOBILE,/india/stockpricequote/auto23wheelers/tvsmotorcompany/TVS
INE342J01019,533023,WABCO India,WABCOINDIA,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/wabcotvsindia/WAB
INE951D01028,531795,Atul Auto,ATULAUTO,AUTO,AUTOMOBILE,/india/stockpricequote/auto23wheelers/atulauto/AA08
INE449A01011,505010,Automotive Axle,AUTOAXLES,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/automotiveaxles/AA06
INE213C01025,500039,Banco Products,BANCOINDIA,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/bancoproductsindia/BPI
INE561C01019,505688,Bharat Gears,BHARATGEAR,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/bharatgears/BG01
INE737H01014,532768,FIEM Ind,FIEMIND,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/fiemindustries/FIE
INE529A01010,505744,Federal-Mogul,FMGOETZE,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/federalmogulgoetze/FMG
INE524A01029,505714,Gabriel India,GABRIEL,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/gabrielindia/GI02
INE934S01014,540124,GNA Axles,GNA,AUTO,AUTOMOBILE,/india/stockpricequote/engineering/lgbalakrishnanbrothers/A03
INE939D01015,590043,Harita Seating,HARITASEAT,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/haritaseatingsystems/HSS02
INE310C01029,509635,Hind Composites,HINDCOMPOS,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/hindustancomposites/HC06
INE253A01025,500500,Hind Motors,HINDMOTORS,AUTO,AUTOMOBILE,/india/stockpricequote/autocarsjeeps/hindustanmotors/HM
INE127B01011,522073,The Hi-Tech Gea,HITECHGEAR,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/hitechgears/HTG
INE092B01017,532240,India Nippon,INDNIPPON,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/indianipponelectricals/INE
INE039C01032,520051,Jamna Auto,JAMNAAUTO,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI
INE571B01028,520066,Jay BharatMarut,JAYBARMARU,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/jaybharatmaruti/JBM
INE927D01028,532605,JBM Auto,JBMA,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/jbmautocomponents/JBM03
INE412C01015,,Jullundur Motor,JMA,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/bancoproductsindia/JMA
INE337A01034,500250,LG Balakrishnan,LGBBROSLTD,AUTO,AUTOMOBILE,/india/stockpricequote/engineering/lgbalakrishnanbrothers/LGB
INE162B01018,517206,Lumax Inds,LUMAXIND,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/lumaxindustries/LI05
INE872H01019,532796,Lumax Auto Tech,LUMAXTECH,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/lumaxautotechnologies/LAT01
INE288A01013,500266,Mah Scooters,MAHSCOOTER,AUTO,AUTOMOBILE,/india/stockpricequote/auto23wheelers/maharashtrascooters/MS01
INE672B01032,520059,Munjal Auto Ind,MUNJALAU,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/munjalautoindustries/MAI04
INE577A01027,520043,Munjal Showa,MUNJALSHOW,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/munjalshowa/MS
INE095I01015,532934,PPAP Automotive,PPAP,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/precisionpipesprofilescompany/PPP03
INE484I01029,539636,Precision Camsh,PRECAM,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/ricoauto/PC16
INE726V01018,540293,Pricol,PRICOLLTD,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/pricol/P9
INE384A01010,505800,Rane Holdings,RANEHOLDIN,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/raneholdings/RH01
INE244J01017,532987,Rane Brake,RBL,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/ranebrakelinings/RBL01
INE474C01015,530919,Remsons Ind,REMSONSIND,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/remsonsindustries/RI10
INE209B01025,520008,Rico Auto,RICOAUTO,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/ricoauto/RA04
INE050H01012,532661,Rane Madras,RML,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/ranemadras/RM08
INE878E01021,505075,Setco Auto,SETCO,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/setcoautomotive/SA14
INE631A01022,522034,Shanthi Gears,SHANTIGEAR,AUTO,AUTOMOBILE,/india/stockpricequote/engineering/shanthigears/SG04
INE597I01010,535602,Sharda Motor,SHARDAMOTR,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/munjalautoindustries/SMI04
INE637H01024,532776,Shivam Auto,SHIVAMAUTO,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/shivamautotech/SA13
INE526E01018,,Shriram Pistons,SHRIPISTON,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/jamnaautoindustries/SPR02
INE643A01035,520057,Sona Koyo Stee,SONASTEER,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/sonakoyosteeringsystems/SKS04
INE802C01017,513262,Steel Str Wheel,SSWL,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/steelstripswheels/SSW02
INE287B01021,517168,Subros,SUBROS,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/subros/S07
INE073D01013,590072,Sundaram Brake,SUNDRMBRAK,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/sundarambrakelinings/SBL
INE187D01011,505160,Talbros Auto,TALBROAUTO,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/talbrosautomotivecomponents/TAC
INE139B01016,500464,UCAL Fuel,UCALFUEL,AUTO,AUTOMOBILE,/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS
